number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_rate,params_embedding_dim,params_learning_rate,params_lstm_units,state
0,0.8568000197410583,2024-12-02 15:46:24.622235,2024-12-02 15:59:40.977882,0 days 00:13:16.355647,64,128,0.2,150,0.00023221084853035836,96,COMPLETE
1,0.8641999959945679,2024-12-02 15:59:40.982559,2024-12-02 16:18:18.494381,0 days 00:18:37.511822,32,64,0.30000000000000004,125,0.0007569153117447993,32,COMPLETE
2,0.8551999926567078,2024-12-02 16:18:18.499385,2024-12-02 16:49:10.767675,0 days 00:30:52.268290,32,96,0.30000000000000004,100,0.00012336970210698547,128,COMPLETE
3,0.8622000217437744,2024-12-02 16:49:10.773194,2024-12-02 17:03:10.931394,0 days 00:14:00.158200,64,96,0.30000000000000004,75,0.0005696499005743137,96,COMPLETE
4,0.8610000014305115,2024-12-02 17:03:10.937236,2024-12-02 17:23:54.332294,0 days 00:20:43.395058,32,128,0.5,75,0.00038744837521554124,64,COMPLETE
5,0.8539999723434448,2024-12-02 17:23:54.338925,2024-12-02 17:35:33.227446,0 days 00:11:38.888521,64,32,0.5,50,0.0008804060054378566,96,COMPLETE
6,0.8582000136375427,2024-12-02 17:35:33.232987,2024-12-02 18:02:15.495093,0 days 00:26:42.262106,32,96,0.4,75,0.0008478530813539379,128,COMPLETE
7,0.8546000123023987,2024-12-02 18:02:15.501352,2024-12-02 18:11:35.532849,0 days 00:09:20.031497,128,32,0.5,150,0.00027521321621751265,96,COMPLETE
8,0.864799976348877,2024-12-02 18:11:35.539485,2024-12-02 18:18:04.625572,0 days 00:06:29.086087,128,64,0.2,150,0.00016173336668739432,32,COMPLETE
9,0.8697999715805054,2024-12-02 18:18:04.632502,2024-12-02 18:24:47.839699,0 days 00:06:43.207197,128,128,0.30000000000000004,75,0.0001695645869926092,32,COMPLETE
10,0.8730000257492065,2024-12-02 18:24:47.846956,2024-12-02 18:32:07.333719,0 days 00:07:19.486763,128,128,0.4,50,0.00011043435876689723,64,COMPLETE
11,0.8755999803543091,2024-12-02 18:32:07.338872,2024-12-02 18:39:28.137971,0 days 00:07:20.799099,128,128,0.4,50,0.00010036233258995049,64,COMPLETE
12,0.8730000257492065,2024-12-02 18:39:28.143129,2024-12-02 18:45:57.703195,0 days 00:06:29.560066,128,128,0.4,50,0.00010575512770906067,64,COMPLETE
13,0.8776000142097473,2024-12-02 18:45:57.710084,2024-12-02 18:55:12.436229,0 days 00:09:14.726145,128,128,0.4,50,0.00010220516552100835,64,COMPLETE
14,0.8655999898910522,2024-12-02 18:55:12.443557,2024-12-02 19:02:18.884689,0 days 00:07:06.441132,128,96,0.4,100,0.0001681035160630061,64,COMPLETE
15,0.8615999817848206,2024-12-02 19:02:18.890516,2024-12-02 19:08:40.797162,0 days 00:06:21.906646,128,128,0.4,50,0.00038428938426354135,64,COMPLETE
16,0.8700000047683716,2024-12-02 19:08:40.802830,2024-12-02 19:15:01.308656,0 days 00:06:20.505826,128,64,0.5,50,0.0001416244152677384,32,COMPLETE
17,0.8690000176429749,2024-12-02 19:15:01.314657,2024-12-02 19:21:16.880032,0 days 00:06:15.565375,128,96,0.4,125,0.00021535614823249043,64,COMPLETE
18,0.870199978351593,2024-12-02 19:21:16.883727,2024-12-02 19:29:05.842841,0 days 00:07:48.959114,128,128,0.30000000000000004,75,0.00010309555170690426,96,COMPLETE
19,0.8586000204086304,2024-12-02 19:29:05.849836,2024-12-02 19:40:51.982154,0 days 00:11:46.132318,64,96,0.5,100,0.0002113471126660907,32,COMPLETE
